Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_476.jpg;15;0;0;0;99.66999;85.58907;0.0002487299;300.6728;-4.049377E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_524.jpg;15;0;0;0;99.66999;85.58907;0.000248265;302.4728;-4.217574E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_575.jpg;15;0;0;0;99.66999;85.58907;0.0002472726;305.1728;-4.249352E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_624.jpg;15;0;0;0;99.66999;85.58907;0.0002462916;306.9727;-4.217032E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_672.jpg;13.94708;0;0;0;99.66999;85.58908;0.0002458175;309.6096;-4.122718E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_723.jpg;11.14582;0;0;0;99.66999;85.58908;0.000245279;311.0674;-3.916318E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_771.jpg;9.23331;0;0;0;99.66999;85.58908;0.0002466216;312.7831;-3.374015E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_820.jpg;6.250379;0;0;0;99.66999;85.58908;0.0002477493;313.6515;-2.811761E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_870.jpg;3.261923;0;0;0;99.66999;85.58908;0.0002494422;314.4182;-1.809531E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_919.jpg;0.2564207;0;0;0;99.66999;85.58908;0.0002507139;314.5688;-1.047692E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_33_970.jpg;-2.060268;0;0;0;99.66999;85.58908;0.0002519512;314.3782;1.409308E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_020.jpg;-4.06422;0;0;0;99.66999;85.58908;0.0002526666;313.9515;9.556327E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_070.jpg;-4.101972;0;0;0;99.66999;85.58908;0.0002542624;313.0916;2.41206E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_120.jpg;-1.09977;0;0;0;99.66999;85.58908;0.0002553679;312.8995;3.038297E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_170.jpg;1.945986;0;0;0;99.66999;85.58908;0.0002565306;313.0672;3.662362E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_219.jpg;4.914444;0;0;0;99.66999;85.58908;0.0002573385;313.5384;3.923421E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_270.jpg;7.945074;0;0;0;99.66999;85.58908;0.0002587167;314.7854;4.017797E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_321.jpg;10.95389;0;0;0;99.66999;85.58908;0.0002598226;315.9787;3.804224E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_372.jpg;13.93754;0;0;0;99.66999;85.58908;0.0002602649;318.3084;3.082981E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_421.jpg;15;0;0;0;99.66999;85.58908;0.0002596066;320.1084;2.612658E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_470.jpg;15;0;0;0;99.66999;85.58908;0.0002580931;322.8084;1.921977E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_520.jpg;15;0;0;0;99.66999;85.58908;0.0002566018;324.6084;1.454356E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_571.jpg;12.97318;0;0;0;99.67;85.58908;0.0002557392;327.1287;9.29411E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_621.jpg;9.945869;0;0;0;99.67;85.58908;0.0002542274;328.4446;7.64688E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_671.jpg;6.940662;0;0;0;99.67;85.58908;0.0002521815;329.8764;7.629156E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_721.jpg;4.015686;0;0;0;99.67;85.58908;0.0002509243;330.4754;9.177624E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_770.jpg;4.902324;0;0;0;99.67;85.58908;0.0002482439;331.1792;1.119359E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_822.jpg;7.952953;0;0;0;99.67;85.58908;0.0002454985;332.012;1.11193E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_871.jpg;10.92983;0;0;0;99.67;85.58908;0.0002422985;333.808;8.562489E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_920.jpg;13.92102;0;0;0;99.67;85.58908;0.0002416808;335.3599;5.55487E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_34_970.jpg;15;0;0;0;99.67;85.58908;0.0002406674;338.0518;-3.840913E-07
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_021.jpg;15;0;0;0;99.67;85.58908;0.0002393345;339.8518;-3.225752E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_070.jpg;15;0;0;0;99.67;85.58908;0.0002366101;342.5518;-7.69198E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_121.jpg;15;0;0;0;99.67;85.58908;0.0002346358;344.3518;-9.750869E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_170.jpg;15;0;0;0;99.67;85.58908;0.0002324591;347.0518;-1.335618E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_221.jpg;15;0;0;0;99.67;85.58908;0.0002311036;348.8518;-1.533964E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_272.jpg;15;0;0;0;99.67;85.58908;0.0002293577;351.5518;-1.740893E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_320.jpg;15;0;0;0;99.67;85.58908;0.0002283888;353.3518;-1.710416E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_370.jpg;15;0;0;0;99.67;85.58908;0.0002280019;356.0518;-1.895402E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_420.jpg;15;0;0;0;99.67;85.58908;0.0002278545;357.8518;-1.957868E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_470.jpg;14.00857;0;0;0;99.67;85.58908;0.0002290619;0.4923325;-1.861064E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_520.jpg;11.0284;0;0;0;99.67;85.58908;0.000230111;1.934685;-1.830426E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_569.jpg;9.045156;0;0;0;99.67;85.58908;0.0002321627;3.742271;-1.605669E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_619.jpg;6.017088;0;0;0;99.67;85.58908;0.0002341039;4.585358;-1.295314E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_669.jpg;3.042708;0;0;0;99.67;85.58908;0.0002369325;5.312721;-5.284326E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_721.jpg;0.001362115;0;0;0;99.67;85.58908;0.0002384439;5.43557;2.464813E-08
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_775.jpg;1.218522;0;0;0;99.67;85.58908;0.0002416275;5.462631;8.342296E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_824.jpg;4.29039;0;0;0;99.67;85.58908;0.0002418642;5.795273;1.186139E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_876.jpg;7.27338;0;0;0;99.67;85.58908;0.0002444925;6.929337;1.46959E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_931.jpg;10.35431;0;0;0;99.67;85.58908;0.0002475667;8.603172;1.557574E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_35_971.jpg;13.14118;0;0;0;99.67;85.58908;0.0002488055;10.12988;1.427138E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_021.jpg;15;0;0;0;99.67;85.58908;0.0002498335;11.87117;1.158312E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_070.jpg;15;0;0;0;99.67;85.58908;0.0002521026;14.5712;7.560969E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_120.jpg;13.02157;0;0;0;99.67;85.58908;0.0002537485;16.25247;5.433414E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_171.jpg;10.0079;0;0;0;99.67;85.58908;0.0002551732;18.2371;4.0039E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_221.jpg;6.952229;0;0;0;99.67;85.58908;0.0002553868;19.19426;4.10166E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_272.jpg;3.958121;0;0;0;99.67;85.58908;0.000255831;20.09113;7.734926E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_320.jpg;0.935699;0;0;0;99.67;85.58908;0.0002560346;20.32158;1.13825E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_371.jpg;-2.018461;0;0;0;99.67;85.58908;0.0002567325;20.14028;1.879635E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_420.jpg;-5.013043;0;0;0;99.67;85.58908;0.0002569619;19.65947;2.479228E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_469.jpg;-7.999345;0;0;0;99.67;85.58908;0.0002569276;18.39783;3.464559E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_520.jpg;-10.99903;0;0;0;99.67;85.58908;0.0002566741;17.19994;4.153019E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_573.jpg;-14.0527;0;0;0;99.67;85.58908;0.0002536502;14.85573;5.254619E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_621.jpg;-15;0;0;0;99.67;85.58908;0.0002509053;13.05574;6.020327E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_670.jpg;-15;0;0;0;99.67;85.58908;0.0002479054;10.3558;6.914461E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_720.jpg;-12.98293;0;0;0;99.67;85.58908;0.0002455172;8.676842;7.315853E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_770.jpg;-9.971951;0;0;0;99.67;85.58908;0.0002433777;6.697495;7.478504E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_821.jpg;-7.983774;0;0;0;99.67;85.58908;0.0002426769;5.620201;7.448882E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_870.jpg;-4.963056;0;0;0;99.67;85.58908;0.0002422102;4.546204;7.059121E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_921.jpg;-2.007252;0;0;0;99.67;85.58908;0.0002419612;4.185379;6.652158E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_36_970.jpg;1.087327;0;0;0;99.67;85.58908;0.0002426903;4.197639;5.580287E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_021.jpg;-1.822055;0;0;0;99.67;85.58908;0.0002412926;4.096672;4.834583E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_070.jpg;-4.892766;0;0;0;99.67;85.58908;0.0002403743;3.40097;4.042685E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_121.jpg;-7.906133;0;0;0;99.67;85.58908;0.0002385445;2.574852;3.582156E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_171.jpg;-10.91634;0;0;0;99.67;85.58908;0.0002367614;0.7929993;3.11506E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_222.jpg;-13.85729;0;0;0;99.67;85.58908;0.0002361608;359.248;2.992484E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_271.jpg;-15;0;0;0;99.67;85.58908;0.0002357285;356.5519;2.929158E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_321.jpg;-15;0;0;0;99.67;85.58908;0.0002364675;354.752;2.92697E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_373.jpg;-15;0;0;0;99.67;85.58908;0.0002362329;352.0519;2.616373E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_420.jpg;-15;0;0;0;99.67;85.58908;0.0002362214;350.2519;2.491499E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_470.jpg;-15;0;0;0;99.67;85.58908;0.000237152;347.5519;2.153822E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_520.jpg;-15;0;0;0;99.67;85.58908;0.0002384305;345.7519;2.059761E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_571.jpg;-15;0;0;0;99.67;85.58908;0.000241278;343.0519;1.824668E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_620.jpg;-12.01049;0;0;0;99.67;85.58908;0.0002437316;341.5504;1.458427E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_675.jpg;-8.806663;0;0;0;99.67;85.58908;0.0002474798;339.7628;8.82739E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_724.jpg;-7.714176;0;0;0;99.67;85.58908;0.0002499551;338.8954;3.474044E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_775.jpg;-5.735568;0;0;0;99.67;85.58908;0.0002529193;337.6837;-4.717459E-06
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_827.jpg;-2.674044;0;0;0;99.67;85.58908;0.0002551059;337.1739;-1.055174E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_870.jpg;-2.177622;0;0;0;99.67;85.58908;0.0002586627;336.7664;-2.039993E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_920.jpg;-4.27158;0;0;0;99.67;85.58908;0.0002603308;336.3445;-2.539474E-05
C:\Users\hp\Documents\Robotics\IMG\robocam_2020_04_17_13_35_37_970.jpg;-6.51451;0;0;0;99.67;85.58908;0.00026369;335.3081;-2.980914E-05
